[2021-09-07 10:32:45.650] [main] INFO  com.miniw.fesweb.FesWebApplication : Starting FesWebApplication using Java 1.8.0_221 on luoquandeMacBook-Pro.local with PID 16605 (/Users/blacker/IdeaProjects/mini-festival/fes-web/target/classes started by blacker in /Users/blacker/IdeaProjects/mini-festival)
[2021-09-07 11:25:12.781] [main] INFO  o.s.cloud.context.scope.GenericScope : BeanFactory id=49b9491e-e1c8-35ae-8003-390f7cacad72
[2021-09-07 11:25:13.222] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 5090 (http)
[2021-09-07 11:25:13.232] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-5090"]
[2021-09-07 11:25:13.233] [main] INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
[2021-09-07 11:25:13.234] [main] INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.44]
[2021-09-07 11:25:13.372] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
[2021-09-07 11:25:13.373] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1843 ms
[2021-09-07 11:25:14.320] [main] INFO  org.redisson.Version : Redisson 3.12.0
[2021-09-07 11:25:14.627] [redisson-netty-4-5] INFO  o.r.c.pool.MasterConnectionPool : 2 connections initialized for 10.0.0.203/10.0.0.203:6379
[2021-09-07 11:25:14.627] [redisson-netty-4-7] INFO  o.r.c.p.MasterPubSubConnectionPool : 1 connections initialized for 10.0.0.203/10.0.0.203:6379
[2021-09-07 11:25:15.523] [main] INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
[2021-09-07 11:25:15.823] [main] INFO  o.s.s.c.ThreadPoolTaskScheduler : Initializing ExecutorService 'taskScheduler'
[2021-09-07 11:25:15.944] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-5090"]
[2021-09-07 11:25:15.960] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 5090 (http) with context path ''
[2021-09-07 11:25:15.974] [main] INFO  com.miniw.fesweb.FesWebApplication : Started FesWebApplication in 5.303 seconds (JVM running for 6.427)
[2021-09-07 11:26:00.015] [task-2] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:26:00 CST 2021, threadName - task-2正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:26:00.015] [task-3] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:26:00 CST 2021, threadName - task-3正在执行月无双预售发放礼包任务
[2021-09-07 11:28:00.006] [task-9] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:28:00 CST 2021, threadName - task-9正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:28:00.007] [task-10] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:28:00 CST 2021, threadName - task-10正在执行月无双预售发放礼包任务
[2021-09-07 11:30:00.006] [task-15] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:30:00 CST 2021, threadName - task-15正在执行月无双预售发放礼包任务
[2021-09-07 11:30:00.007] [task-16] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:30:00 CST 2021, threadName - task-16正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:31:18.074] [lettuce-eventExecutorLoop-1-7] INFO  i.l.core.protocol.ConnectionWatchdog : Reconnecting, last destination was /10.0.0.203:6379
[2021-09-07 11:31:18.095] [lettuce-nioEventLoop-7-2] INFO  i.l.c.protocol.ReconnectionHandler : Reconnected to 10.0.0.203:6379
[2021-09-07 11:31:59.963] [task-21] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:31:59 CST 2021, threadName - task-21正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:31:59.963] [task-22] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:31:59 CST 2021, threadName - task-22正在执行月无双预售发放礼包任务
[2021-09-07 11:32:18.135] [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog : Reconnecting, last destination was /10.0.0.203:6379
[2021-09-07 11:32:18.143] [lettuce-nioEventLoop-7-3] INFO  i.l.c.protocol.ReconnectionHandler : Reconnected to 10.0.0.203:6379
[2021-09-07 11:32:21.877] [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler : Shutting down ExecutorService 'taskScheduler'
[2021-09-07 11:32:21.878] [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
[2021-09-07 11:32:25.189] [main] INFO  com.miniw.fesweb.FesWebApplication : Starting FesWebApplication using Java 1.8.0_221 on luoquandeMacBook-Pro.local with PID 17392 (/Users/blacker/IdeaProjects/mini-festival/fes-web/target/classes started by blacker in /Users/blacker/IdeaProjects/mini-festival)
[2021-09-07 11:32:25.192] [main] INFO  com.miniw.fesweb.FesWebApplication : The following profiles are active: dev
[2021-09-07 11:32:26.100] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
[2021-09-07 11:32:26.103] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2021-09-07 11:32:26.128] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
[2021-09-07 11:32:26.268] [main] INFO  o.s.c.a.ConfigurationClassPostProcessor : Cannot enhance @Configuration bean definition 'mybatisPlusConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
[2021-09-07 11:32:26.340] [main] INFO  o.s.cloud.context.scope.GenericScope : BeanFactory id=49b9491e-e1c8-35ae-8003-390f7cacad72
[2021-09-07 11:32:26.745] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 5090 (http)
[2021-09-07 11:32:26.755] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-5090"]
[2021-09-07 11:32:26.756] [main] INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
[2021-09-07 11:32:26.756] [main] INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.44]
[2021-09-07 11:32:26.863] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
[2021-09-07 11:32:26.864] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1597 ms
[2021-09-07 11:32:27.658] [main] INFO  org.redisson.Version : Redisson 3.12.0
[2021-09-07 11:32:27.897] [redisson-netty-4-5] INFO  o.r.c.p.MasterPubSubConnectionPool : 1 connections initialized for 10.0.0.203/10.0.0.203:6379
[2021-09-07 11:32:27.897] [redisson-netty-4-7] INFO  o.r.c.pool.MasterConnectionPool : 2 connections initialized for 10.0.0.203/10.0.0.203:6379
[2021-09-07 11:32:28.775] [main] INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
[2021-09-07 11:32:29.027] [main] INFO  o.s.s.c.ThreadPoolTaskScheduler : Initializing ExecutorService 'taskScheduler'
[2021-09-07 11:32:29.146] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-5090"]
[2021-09-07 11:32:29.161] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 5090 (http) with context path ''
